cluster,top_ingredients
41,"alfredo sauce, boboli pizza crust, pepperoni, pepperoni slice, pepperoni slices, perruso%27s spaghetti and meatballs sauce, pillsbury grands%21 refrigerated biscuits, pizza crust, pizza crusts, pizza dough"
42,"almond granola, quinoa flakes, honey vanilla white chai tea bag, hot cross buns, low-fat granola cereal, low-sodium peanut butter, mango rum liqueur, parmesan and butter rice mix, pomegranate-cranberry juice, raspberry white wine vinegar"
43,"barley, carrots, dried split peas, ham bone, lentils, parsnips, pearl barley, rutabaga, split peas, turkey carcass"
44,"badam powder, canned cranberries, classico tomato and basil pasta sauce, creme yvette, framboise eau-de-vie, gold leaf foil, gummy ring, heavy cream, instant espresso, pista powder"
45,"alpha-bits cereal, black cherry jell-o, brandied hard sauce, butter pecan ice cream, caramel popped popcorn, duncan hines cinnamon swirl muffin mix, fat-free sugar-free vanilla pudding, ghirardelli double chocolate brownie mix, low-fat whole grain waffle, non fat small curd cottage cheese"
46,"campbell%27s creamy ranchero tomato soup, cheddar cheese, cheemo perogies, chicken %26 herb classico rice-a-roni, condensed broccoli cheddar cheese soup, fat-free turkey chili, fat-free vegetarian chili, franks and beans, french apple pie filling, frito-lay bean dip"
47,"betty crocker super moist cake mix, biscotti liqueur, cashew milk, chamomile flowers, cinnamon, crystal light peach tea drink mix, fat free reddi-wip topping, fat-free sugar-free white chocolate pudding mix, mint chocolate square, muskmelons"
48,"black decorating gel, low-fat graham cracker, smucker%27s%26reg%3b orchard%27s finest%26reg%3b michigan red tart cherry preserves, smucker%27s%26reg%3b natural creamy peanut butter, red decorating icing, powdered sugar, pillsbury frozen oven baked flaky layers biscuits, paraffin wax block, nestl%c3%89%c2%ae toll house%c2%ae premier white morsel, nestl%c3%89%c2%ae toll house%c2%ae holiday morsels"
49,"asafoetida powder, peanut oil, mutton, napa cabbage, onion seeds, oriental sesame oil, oyster sauce, palm sugar, panir, pickled ginger"
50,"banana milk, masa harina mix, toasted coconut marshmallows, pooper scooper, planters sliced almonds, pink vanilla funfetti frosting, pillsbury plus devils food cake mix, onion skins, oil, new kitty litter box"
51,"betty crocker fudge brownie mix, betty crocker lemon ready to spread frosting, yellow cake mix, white frosting, vegetarian banana pudding mix, vanilla frosting, strawberry cake mix, skittles candies, original supreme brownie mix, miniature butterfinger candy bars"
52,"bittersweet chocolate, chocolate, cocoa powder, dark chocolate, instant coffee, instant coffee powder, instant espresso powder, milk chocolate, semi-sweet chocolate baking squares, semisweet chocolate"
53,"apple peel, apple vodka, unsweetened raspberry kool-aid, tequila liqueur, raspberry ice cream, pectin, peach vodka, organic no-sugar-added cranberry juice, orange-grapefruit juice, nassau royale"
54,"active dry yeast, bread enhancer, white bread flour, wheat gluten, warm water, vital wheat gluten, sourdough starter, rye flour, quick-rising yeast, powdered milk"
55,"banana syrup, prepared low-fat custard, longans in heavy syrup, macadamia nut syrup, macadamia syrup, mango ice cream, milk, mini jelly rolls, mint-flavored herbal tea bags, muskmelon"
56,"10-inch baked pie shells, low-fat pineapple yogurt, orange brandy, nigari, nasturtium blossoms, muscadine grapes, monarch 151 rum, molasses sugar, malaga wine, lychees in heavy syrup"
57,"breaded fish fillets, chicken cheese enchilada soup, chicken taquitos, chili-flavored ramen noodles, jalapeno cornbread mix, kraft shredded monterey jack cheese, mint flavored liqueur, pepperidge farm dinner rolls, ro-tel green chilies, sour cream"
58,"all-bran cereal, flax seed, wheat germ, wheat bran, unsweetened applesauce, toasted wheat germ, splenda sugar substitute, splenda granular, soy flour, rolled oats"
59,"8-inch 97%25 fat free flour tortillas, baloney, jalapenos packed in oil, light tortilla chips, low-fat tomato soup, low-sodium triscuits, mexican blend cheese, mild green chilies, morningstar farms spicy black bean burgers, picante sauce"
60,"apple pie, mozzarella cheese with sun-dried tomatoes and basil, jamon serrano, knudsen sour cream, lucky charms cereal, macapuno strings, microwave kettle popcorn, milky way bar, miniature powdered sugar doughnuts, mint oreo cookies"
61,"9 inch chocolate cookie crumb crust, beef bacon, white fudge covered oreos, toffeepop cookies, sweet bread roll, sugar-free fruit-flavored gelatin, spinach tortilla, simply potatoes garlic and herb hash browns, red horseradish, prepared sugar-free brownies"
62,"9 inch cake layers, reduced-fat pound cake, vanilla tea bags, vanilla rum, sugar-free peach gelatin mix, sugar-free mint candies, sugar-free lemon jell-o powder, sugar-free jello, raspberries in juice, blackberry gelatin"
63,"black licorice strings, nuttter butter bites, white chocolate chips, toffee pieces, tic tac mint, sugar-free fudgsicle, semi-sweet chocolate chips, rice krispies treats, red fruit roll-ups, pretzel goldfish crackers"
64,"100-calorie snack pack tapioca pudding, banana nut bread, bananas, coconuts%2c milk of, fromage frais with added cream, low-fat chocolate soymilk, prepared fat free sugar-free banana cream pudding, sugar-free cheesecake pudding mix, sugar-free instant chocolate fudge pudding mix, sugar-free red jell-o"
65,"100-calorie honey maid cinnamon graham cracker crisps, pomegranate vitamin water, orgeat syrup, parrot bay coconut rum, passion fruit and strawberry salad dressing, passion fruit juice, passion fruit liqueur, passion fruit syrup, peach schnapps, peach-papaya-mango juice"
66,"jalapeno, jalapeno chile, jalapeno pepper, jalapeno peppers, jalapenos, lime, lime wedge, lime%2c juice of, limes, limes%2c juice of"
