method,cluster_id,size,avg_frequency,median_frequency,recipe_coherence,density_coherence,coverage_coherence,quality,interpretation,primary_category,category_match_pct,secondary_category,recipes_with_cluster,max_co_occurrence,top_5_ingredients,top_10_ingredients
K-Means,3,190,257.3315789473684,57.5,46.99473684210526,2.327024302833464,1.224749633070244,MEDIUM,MODERATELY COHERENT - meaningful grouping,dairy,24.736842105263158,,8929,9,"cream of mushroom soup, garlic salt, sharp cheddar cheese, halfandhalf, swiss cheese","cream of mushroom soup, garlic salt, sharp cheddar cheese, halfandhalf, swiss cheese, cream of chicken soup, sliced mushrooms, bread, broccoli, ham"
K-Means,73,119,255.53781512605042,7.0,46.60504201680672,2.3218535881716553,1.9511374690518113,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,15.126050420168067,,5546,7,"garlic powder, paprika, onion powder, season salt, parsley flakes","garlic powder, paprika, onion powder, season salt, parsley flakes, onion flakes, lime pepper, onion salt, dry onion, nutritional yeast"
K-Means,25,60,329.1,2.0,45.56666666666667,2.068397951719093,3.447329919531821,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,15.0,,2734,4,"carrot, cabbage, celery rib, parsnip, cauliflower floret","carrot, cabbage, celery rib, parsnip, cauliflower floret, white cabbage, yam, kohlrabi, lumpia skins, boiling onions"
K-Means,30,142,213.09154929577466,23.0,42.75352112676056,2.5396145610278373,1.788460958470308,MEDIUM,MODERATELY COHERENT - meaningful grouping,mexican,26.056338028169012,vegetables,6071,8,"cilantro, avocado, jalapeno pepper, jalapeno, lime","cilantro, avocado, jalapeno pepper, jalapeno, lime, white onion, corn tortilla, frozen corn, chipotle chile in adobo, serrano chili"
K-Means,16,142,246.45774647887325,35.0,41.95070422535211,2.4512338425381905,1.7262210158719653,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,14.084507042253522,,5957,8,"ground cumin, curry powder, limec juice of, ground coriander, plain yogurt","ground cumin, curry powder, limec juice of, ground coriander, plain yogurt, cayenne, chickpeas, chopped tomato, cauliflower, skinless chicken legs"
K-Means,17,101,255.13861386138615,36.0,40.48514851485149,2.2719491318170704,2.2494545859574955,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,15.841584158415841,,4089,7,"white vinegar, red wine vinegar, cucumber, feta cheese, fresh dill","white vinegar, red wine vinegar, cucumber, feta cheese, fresh dill, of fresh mint, blue cheese, romaine lettuce, dill, green salad"
K-Means,13,156,277.96153846153845,18.0,39.48076923076923,2.1964604643610977,1.4079874771545497,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,11.538461538461538,,6159,5,"brown sugar, pecans, apples, sweet potato, pumpkin pie","brown sugar, pecans, apples, sweet potato, pumpkin pie, pie crust, pecan halves, puff pastry, pie shell, bourbon"
K-Means,75,136,211.08823529411765,16.5,39.404411764705884,2.6454562418361633,1.9451884131148263,MEDIUM,MODERATELY COHERENT - meaningful grouping,fruits,21.323529411764707,,5359,8,"ground cinnamon, ground ginger, ground nutmeg, ground cloves, molasses","ground cinnamon, ground ginger, ground nutmeg, ground cloves, molasses, ground allspice, granny smith apple, pumpkin, golden raisin, ground cardamom"
K-Means,51,72,271.19444444444446,4.0,37.833333333333336,2.303964757709251,3.1999510523739594,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,18.055555555555554,,2724,7,"ground pepper, oregano, thyme, basil, rosemary","ground pepper, oregano, thyme, basil, rosemary, sage, marjoram, sweet basil, savory, fryer chicken"
K-Means,88,164,219.140243902439,33.0,36.951219512195124,2.772277227722772,1.6904129437333975,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,15.853658536585366,asian,6060,12,"cornstarch, gingerroot, cooked rice, peanut oil, chili sauce","cornstarch, gingerroot, cooked rice, peanut oil, chili sauce, broccoli floret, low sodium soy sauce, dry sherry, spring onion, sherry wine"
K-Means,6,101,237.85148514851485,61.0,34.524752475247524,2.3513048465729853,2.3280246005673124,MEDIUM,MODERATELY COHERENT - meaningful grouping,grains,26.732673267326735,,3487,10,"almonds, apple, rolled oats, dried cranberries, oats","almonds, apple, rolled oats, dried cranberries, oats, slivered almonds, sliced almonds, quickcooking oats, oatmeal, apple juice"
K-Means,45,115,213.1391304347826,4.0,30.82608695652174,2.1500705218617773,1.8696265407493715,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,17.391304347826086,,3545,6,"vanilla, shortening, nuts, cocoa, hot water","vanilla, shortening, nuts, cocoa, hot water, vegetable shortening, crisco, unsifted flour, karo syrup, crisco shortening"
K-Means,82,109,166.44036697247705,6.0,29.59633027522936,2.3360198388096713,2.1431374667978638,MEDIUM,MODERATELY COHERENT - meaningful grouping,mexican,25.688073394495415,,3226,6,"chili powder, cumin, kidney bean, ground turkey, stewed tomatoes","chili powder, cumin, kidney bean, ground turkey, stewed tomatoes, red kidney beans, pinto beans, tomatoes and green chilies, beans, chili bean"
K-Means,23,57,328.2631578947368,7.0,29.50877192982456,2.1343638525564805,3.744497986941194,MEDIUM,MODERATELY COHERENT - meaningful grouping,baking,31.57894736842105,dairy,1682,5,"cinnamon, skim milk, applesauce, splenda sugar substitute, splenda granular","cinnamon, skim milk, applesauce, splenda sugar substitute, splenda granular, sugar substitute, artificial sweetener, splenda brown sugar blend, stevia, almond butter"
K-Means,54,118,196.11016949152543,4.0,29.3135593220339,2.341428158427291,1.9842611512095685,MEDIUM,MODERATELY COHERENT - meaningful grouping,dessert,27.11864406779661,dairy,3459,8,"margarine, white sugar, semisweet chocolate chips, chocolate chips, peanut butter","margarine, white sugar, semisweet chocolate chips, chocolate chips, peanut butter, coconut, mini marshmallows, marshmallows, butterscotch chips, rice krispies"
K-Means,27,112,138.82142857142858,16.0,29.232142857142858,2.5222968845448994,2.2520507897722317,MEDIUM,MODERATELY COHERENT - meaningful grouping,asian,35.714285714285715,,3274,7,"sesame oil, sesame seeds, rice vinegar, peanuts, rice wine vinegar","sesame oil, sesame seeds, rice vinegar, peanuts, rice wine vinegar, bean sprouts, roasted peanuts, toasted sesame seeds, toasted sesame oil, mirin"
K-Means,19,151,144.3708609271523,9.0,29.211920529801326,2.7002947177510768,1.7882746475172695,MEDIUM,MODERATELY COHERENT - meaningful grouping,condiments,22.516556291390728,dairy,4411,8,"mozzarella cheese, italian seasoning, frozen spinach, ricotta cheese, pasta sauce","mozzarella cheese, italian seasoning, frozen spinach, ricotta cheese, pasta sauce, italian sausage, cottage cheese, provolone cheese, pepperoni, lasagna noodles"
K-Means,76,135,201.33333333333334,66.0,28.85925925925926,2.166581108829569,1.6048748954293102,MEDIUM,MODERATELY COHERENT - meaningful grouping,italian,32.592592592592595,vegetables,3896,7,"spinach, fresh mushrooms, spaghetti, pasta, basil leaves","spinach, fresh mushrooms, spaghetti, pasta, basil leaves, fresh garlic, artichoke heart, portabella mushroom, penne pasta, linguine"
K-Means,79,112,206.3125,6.0,28.107142857142858,2.2141041931385006,1.9768787438736612,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,9.821428571428571,,3148,6,"virgin olive oil, dijon mustard, balsamic vinegar, salt freshly ground black pepper, arugula","virgin olive oil, dijon mustard, balsamic vinegar, salt freshly ground black pepper, arugula, sherry vinegar, mixed greens, greens, rocket, radicchio"
K-Means,63,61,168.98360655737704,2.0,27.885245901639344,2.103468547912992,3.4483090949393316,MEDIUM,MODERATELY COHERENT - meaningful grouping,italian,26.229508196721312,vegetables,1701,4,"dry oregano, dry basil, dried parsley, dried garlic, garlic flakes","dry oregano, dry basil, dried parsley, dried garlic, garlic flakes, oregano sprig, lowsodium tomato juice, dried chervil, ground dried chile, italian tomato paste"
K-Means,26,75,157.37333333333333,26.0,27.84,2.3797892720306515,3.1730523627075353,MEDIUM,MODERATELY COHERENT - meaningful grouping,fruits,22.666666666666664,baking,2088,8,"boiling water, crushed pineapple, cool whip, instant pudding mix, whipped topping","boiling water, crushed pineapple, cool whip, instant pudding mix, whipped topping, instant vanilla pudding, frozen whipped topping, maraschino cherry, maraschino cherries, crushed pineapple in syrup"
K-Means,60,88,221.45454545454547,54.0,27.193181818181817,2.1926452152110323,2.491642290012537,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,15.909090909090908,,2393,7,"dry wine, flat leaf parsley, capers, large shrimp, coarse salt","dry wine, flat leaf parsley, capers, large shrimp, coarse salt, salmon fillet, fish fillet, lemon wedge, green olives, tilapia fillet"
K-Means,97,101,218.21782178217822,13.0,26.22772277227723,2.1434503586258966,2.122228077847422,MEDIUM,MODERATELY COHERENT - meaningful grouping,grains,27.722772277227726,protein,2649,5,"chicken broth, rice, chicken, cooked chicken, long grain rice","chicken broth, rice, chicken, cooked chicken, long grain rice, baby carrots, longgrain rice, chicken seasoning, white rice, smoked sausage"
K-Means,69,134,123.51492537313433,5.0,25.850746268656717,2.4148383371824482,1.8021181620764537,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,14.17910447761194,,3464,8,"lime juice, fish sauce, mint leaf, cilantro leaf, mango","lime juice, fish sauce, mint leaf, cilantro leaf, mango, lime zest, lime wedge, lemongrass, tequila, mangoes"
K-Means,35,189,149.41798941798942,10.0,25.59259259259259,3.1972296878230306,1.6916559194830851,HIGH,HIGHLY COHERENT - strong culinary relationship,mixed,15.343915343915343,,4837,20,"ginger, turmeric, coriander, cinnamon stick, coconut milk","ginger, turmeric, coriander, cinnamon stick, coconut milk, cumin seed, mustard seeds, garam masala, chili, basmati rice"
K-Means,96,103,209.46601941747574,43.0,25.446601941747574,2.239221671117894,2.174001622444557,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,9.70873786407767,,2621,6,"egg yolk, lemon zest, cold water, whole milk, lemonc zest of","egg yolk, lemon zest, cold water, whole milk, lemonc zest of, brandy, bitter chocolate, dark chocolate, unflavored gelatin, hazelnuts"
K-Means,77,85,179.38823529411764,2.0,25.4,2.1806391848077813,2.5654578644797428,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,12.941176470588237,,2159,5,"ketchup, vinegar, dry mustard, mustard, prepared mustard","ketchup, vinegar, dry mustard, mustard, prepared mustard, celery seed, salad oil, hot dog, dill seed, green tomato"
K-Means,37,55,325.56363636363636,3.0,25.327272727272728,2.020100502512563,3.6729100045682963,MEDIUM,MODERATELY COHERENT - meaningful grouping,dairy,21.818181818181817,vegetables,1393,3,"parmesan cheese, italian breadcrumbs, seasoned bread crumbs, arborio rice, fettuccine","parmesan cheese, italian breadcrumbs, seasoned bread crumbs, arborio rice, fettuccine, fettuccine pasta, caesar salad dressing, unseasoned breadcrumbs, refrigerated bread dough, risotto rice"
K-Means,1,65,220.92307692307693,34.0,25.29230769230769,2.190389294403893,3.3698296836982973,MEDIUM,MODERATELY COHERENT - meaningful grouping,protein,29.230769230769234,vegetables,1644,5,"dried thyme, low sodium beef broth, vegetable broth, dried rosemary, reducedsodium chicken broth","dried thyme, low sodium beef broth, vegetable broth, dried rosemary, reducedsodium chicken broth, sweet pepper, dry tarragon, dried sage, dried marjoram, cooked brown rice"
K-Means,71,159,135.76729559748426,14.0,23.32075471698113,2.313646170442287,1.4551233776366583,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,12.578616352201259,,3708,7,"mayonnaise, hardboiled egg, tuna, dill weed, prepared horseradish","mayonnaise, hardboiled egg, tuna, dill weed, prepared horseradish, cooked chicken breast, horseradish, fried bacon, pimiento, dill pickle"
K-Means,49,93,207.81720430107526,43.0,21.64516129032258,2.1818181818181817,2.346041055718475,MEDIUM,MODERATELY COHERENT - meaningful grouping,protein,43.01075268817204,,2013,7,"cider vinegar, barbecue sauce, beer, pork chop, pork tenderloin","cider vinegar, barbecue sauce, beer, pork chop, pork tenderloin, yellow mustard, liquid smoke, chicken wings, mustard powder, boneless pork chop"
K-Means,48,92,170.75,15.5,20.91304347826087,2.3451143451143452,2.5490373316460273,MEDIUM,MODERATELY COHERENT - meaningful grouping,fruits,29.347826086956523,,1924,11,"strawberries, blueberries, rum, peach, strawberry","strawberries, blueberries, rum, peach, strawberry, chunk pineapple, raspberries, pineapple, mandarin orange, seedless grapes"
K-Means,70,77,180.7012987012987,2.0,20.844155844155843,2.155763239875389,2.799692519318687,MEDIUM,MODERATELY COHERENT - meaningful grouping,vegetables,24.675324675324674,condiments,1605,5,"green pepper, red bell pepper, yellow pepper, orange pepper, reynolds wrap foil","green pepper, red bell pepper, yellow pepper, orange pepper, reynolds wrap foil, simply potatoes diced potatoes with onion, mexican cornbread mix, mediumgrain white rice, corn muffins, pork shoulder chop"
K-Means,64,130,140.23076923076923,8.0,20.53846153846154,2.197003745318352,1.690002881014117,MEDIUM,MODERATELY COHERENT - meaningful grouping,condiments,20.76923076923077,,2670,7,"worcestershire sauce, tabasco sauce, hot sauce, pepper sauce, celery salt","worcestershire sauce, tabasco sauce, hot sauce, pepper sauce, celery salt, catsup, ground chuck, steak sauce, ground sirloin, a original sauce"
K-Means,90,106,160.32075471698113,10.5,20.452830188679247,2.2370848708487086,2.11045742532897,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,18.867924528301888,protein,2168,6,"cheddar cheese, kernel corn, ranch dressing, diced green chilis, refried beans","cheddar cheese, kernel corn, ranch dressing, diced green chilis, refried beans, enchilada sauce, ranch dressing mix, ripe olives, chunky salsa, rotel tomatoes"
K-Means,9,117,170.53846153846155,23.0,19.23931623931624,2.187027987561084,1.8692546902231488,MEDIUM,MODERATELY COHERENT - meaningful grouping,protein,37.60683760683761,,2251,7,"celery, frozen peas, peas, chicken bouillon cube, lentils","celery, frozen peas, peas, chicken bouillon cube, lentils, chicken bouillon granule, dry lentils, turnip, pearl barley, chicken bouillon"
K-Means,87,134,97.07462686567165,4.0,19.238805970149254,2.1951124903025603,1.6381436494795225,MEDIUM,MODERATELY COHERENT - meaningful grouping,fruits,30.597014925373134,,2578,7,"orange juice, orange zest, cranberries, orange rind, orange marmalade","orange juice, orange zest, cranberries, orange rind, orange marmalade, cranberry juice, orange peel, ginger ale, grenadine, orange extract"
K-Means,46,95,160.8736842105263,4.0,19.05263157894737,2.169060773480663,2.2832218668217505,MEDIUM,MODERATELY COHERENT - meaningful grouping,vegetables,26.31578947368421,italian,1810,6,"tomato sauce, diced tomato, lean ground beef, bell peppers, diced onion","tomato sauce, diced tomato, lean ground beef, bell peppers, diced onion, lean ground turkey, spicy seasoning mix, frozen okra, ground meat, lean hamburger"
K-Means,99,52,312.4230769230769,2.0,17.596153846153847,2.0065573770491802,3.8587641866330387,MEDIUM,MODERATELY COHERENT - meaningful grouping,fruits,25.0,,915,3,"lemon juice, lemon rind, lemon peel, fruit pectin, dry pectin","lemon juice, lemon rind, lemon peel, fruit pectin, dry pectin, absolut vodka, lemon sorbet, schnapps, concord grapes, clear jel"
K-Means,62,72,136.375,42.5,16.01388888888889,2.22896790980052,3.0957887636118335,MEDIUM,MODERATELY COHERENT - meaningful grouping,seafood,58.333333333333336,,1153,6,"shrimp, crabmeat, cajun seasoning, old bay seasoning, salmon","shrimp, crabmeat, cajun seasoning, old bay seasoning, salmon, raw shrimp, creole seasoning, lump crabmeat, extrasharp cheddar cheese, cooked shrimp"
K-Means,92,75,154.76,36.0,15.533333333333333,2.127038626609442,2.8360515021459225,MEDIUM,MODERATELY COHERENT - meaningful grouping,dairy,45.33333333333333,,1165,5,"cooking spray, lowfat milk, nonfat milk, nonstick cooking spray, fat cottage cheese","cooking spray, lowfat milk, nonfat milk, nonstick cooking spray, fat cottage cheese, vegetable oil cooking spray, corn oil, fat free cheese, light cheese, lowfat cheese"
K-Means,65,92,126.73913043478261,6.0,14.641304347826088,2.071269487750557,2.2513798779897356,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,18.478260869565215,vegetables,1347,4,"ground beef, onion soup mix, ground pork, hamburger bun, tomato soup","ground beef, onion soup mix, ground pork, hamburger bun, tomato soup, instant rice, condensed tomato soup, lipton onion soup mix, minute rice, refrigerated biscuits"
K-Means,36,170,103.68823529411765,7.0,12.647058823529411,2.2590697674418605,1.3288645690834473,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,10.588235294117647,,2150,7,"shallot, fresh ground pepper, chives, fresh chives, tarragon","shallot, fresh ground pepper, chives, fresh chives, tarragon, gruyere cheese, asiago cheese, creme fraiche, gouda cheese, beef tenderloin"
K-Means,2,102,75.59803921568627,10.5,12.519607843137255,2.3531714956930307,2.3070308781304223,MEDIUM,MODERATELY COHERENT - meaningful grouping,beverages,31.372549019607842,fruits,1277,7,"pineapple juice, ice, orange, vodka, club soda","pineapple juice, ice, orange, vodka, club soda, mint sprig, grape juice, triple sec, lemonlime flavored soda, coconut rum"
K-Means,40,98,112.98979591836735,44.0,10.76530612244898,2.195260663507109,2.2400619015378664,MEDIUM,MODERATELY COHERENT - meaningful grouping,protein,27.55102040816326,,1055,5,"french bread, lettuce leaf, olive, iceberg lettuce, italian salad mix","french bread, lettuce leaf, olive, iceberg lettuce, italian salad mix, italian dressing, whole wheat bread, crouton, deli ham, sourdough bread"
K-Means,52,135,80.17777777777778,3.0,10.71111111111111,2.2745504840940525,1.684852210440039,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,18.51851851851852,,1446,6,"bay leaf, clove, peppercorn, whole black peppercorn, dried beans","bay leaf, clove, peppercorn, whole black peppercorn, dried beans, ham bone, allspice berry, juniper berries, smoked ham hock, rabbit"
K-Means,78,90,296.18888888888887,1.0,10.533333333333333,2.029535864978903,2.2550398499765585,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,17.77777777777778,dairy,948,4,"milk, bisquick, bisquick baking mix, instant vanilla flavor pudding and pie filling, baking mix","milk, bisquick, bisquick baking mix, instant vanilla flavor pudding and pie filling, baking mix, vanilla pudding mix, pudding mix, buttermilk baking mix, jello pudding mix, whipped dessert topping mix"
K-Means,32,139,100.7841726618705,4.0,10.489208633093526,2.0809327846364885,1.4970739457816464,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,12.949640287769784,,1458,6,"cream cheese, refrigerated dinner rolls, cherry pie filling, cracker, graham cracker crust","cream cheese, refrigerated dinner rolls, cherry pie filling, cracker, graham cracker crust, oreo cookies, graham cracker pie crust, crescent roll, refrigerated sugar cookie dough, strawberry preserves"
K-Means,74,64,130.484375,2.0,10.40625,2.036036036036036,3.1813063063063063,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,17.1875,,666,4,"nutmeg, allspice, mace, eggnog, vanilla baking chips","nutmeg, allspice, mace, eggnog, vanilla baking chips, kefalotiri, lingonberry, beef suet, pillsbury ready made pie dough, sweet potato puree"
K-Means,20,189,60.06878306878307,3.0,9.232804232804233,2.4148997134670487,1.2777247161201317,MEDIUM,MODERATELY COHERENT - meaningful grouping,dessert,26.984126984126984,dairy,1745,6,"whipped cream, vanilla ice cream, chocolate syrup, kahlua, coffee","whipped cream, vanilla ice cream, chocolate syrup, kahlua, coffee, brewed coffee, amaretto, ice cream, strong coffee, baileys irish cream"
K-Means,94,81,90.55555555555556,20.0,8.54320987654321,2.296242774566474,2.834867622921573,MEDIUM,MODERATELY COHERENT - meaningful grouping,baking,23.456790123456788,,692,5,"maple syrup, soymilk, egg substitute, coconut oil, agave nectar","maple syrup, soymilk, egg substitute, coconut oil, agave nectar, raw sugar, egg beaters egg substitute, grapeseed oil, silken tofu, almond milk"
K-Means,56,66,88.31818181818181,2.0,8.484848484848484,2.0285714285714285,3.0735930735930737,MEDIUM,MODERATELY COHERENT - meaningful grouping,vegetables,21.21212121212121,,560,3,"zucchini, yellow squash, summer squash, squash, crookneck yellow squash","zucchini, yellow squash, summer squash, squash, crookneck yellow squash, yellow capsicum, pattypan squash, cavenders all purpose greek seasoning, spike seasoning, italian cut green beans"
K-Means,11,71,151.59154929577466,4.0,8.422535211267606,2.0301003344481607,2.8592962457016347,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,14.084507042253522,,598,4,"unsalted butter, table salt, ice water, golden brown sugar, extra large egg","unsalted butter, table salt, ice water, golden brown sugar, extra large egg, fine salt, lightbrown sugar, parchment paper, muscovado sugar, cherry preserves"
K-Means,59,191,61.738219895287955,3.0,8.408376963350785,2.25093399750934,1.17849947513578,MEDIUM,MODERATELY COHERENT - meaningful grouping,dairy,23.56020942408377,fruits,1606,5,"banana, lowfat yogurt, ice cube, frozen strawberries, frozen yogurt","banana, lowfat yogurt, ice cube, frozen strawberries, frozen yogurt, vanilla yogurt, sugarfree pudding mix, frozen blueberries, fruit cocktail, fatfree cool whip"
K-Means,34,55,295.2,1.0,8.290909090909091,2.039473684210526,3.7081339712918657,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,16.363636363636363,,456,4,"black pepper, sea salt, fresh onion, hard cheese, glutenfree chicken stock","black pepper, sea salt, fresh onion, hard cheese, glutenfree chicken stock, tenderloin, reducedsodium diced tomatoes, verjuice, black mission fig, coconut aminos"
K-Means,58,120,113.24166666666666,3.0,7.941666666666666,2.116474291710388,1.7637285764253232,MEDIUM,MODERATELY COHERENT - meaningful grouping,baking,34.166666666666664,dessert,953,6,"oil, yellow cake mix, cake mix, chocolate cake mix, devils food cake mix","oil, yellow cake mix, cake mix, chocolate cake mix, devils food cake mix, brownie mix, matzo meal, lemon cake mix, chocolate frosting, pancake mix"
K-Means,43,113,98.23893805309734,3.0,6.884955752212389,2.0938303341902316,1.8529471983984351,MEDIUM,MODERATELY COHERENT - meaningful grouping,asian,20.353982300884958,,778,4,"soy sauce, ginger powder, liquid honey, chow mein noodles, tuna steak","soy sauce, ginger powder, liquid honey, chow mein noodles, tuna steak, cooking sherry, marinade, pickled ginger, stir fry vegetables, wasabi"
K-Means,24,91,95.12087912087912,3.0,6.56043956043956,2.204355108877722,2.4223682515139804,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,19.78021978021978,,597,6,"bacon, pork beans, baked beans, toothpick, butter beans","bacon, pork beans, baked beans, toothpick, butter beans, lima beans, bacon drippings, shredded hash brown potatoes, polish sausage, little smokies sausage"
K-Means,85,92,96.5,3.0,6.163043478260869,2.072310405643739,2.252511310482325,MEDIUM,MODERATELY COHERENT - meaningful grouping,protein,23.91304347826087,,567,3,"chicken stock, yellow onion, cornflour, chicken breast fillet, chicken thigh fillet","chicken stock, yellow onion, cornflour, chicken breast fillet, chicken thigh fillet, chicken fillet, duck breast, butternut pumpkin, rindless bacon, pasilla chile"
K-Means,21,111,92.78378378378379,3.0,5.594594594594595,2.0483091787439616,1.8453235844540192,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,18.91891891891892,,621,4,"red onion, red pepper, balsamic vinaigrette, reducedfat feta cheese, vinaigrette dressing","red onion, red pepper, balsamic vinaigrette, reducedfat feta cheese, vinaigrette dressing, vinaigrette, miracle whip light, wax bean, lowfat italian salad dressing, spring greens"
K-Means,5,120,58.13333333333333,3.0,5.391666666666667,2.054095826893354,1.7117465224111283,MEDIUM,MODERATELY COHERENT - meaningful grouping,baking,21.666666666666668,,647,4,"egg white, cream of tartar, ground almonds, almond paste, thickened cream","egg white, cream of tartar, ground almonds, almond paste, thickened cream, whole unblanched almond, rose petal, dry curd cottage cheese, orangec juice and rind of, red currants"
K-Means,42,47,78.80851063829788,30.0,5.319148936170213,2.136,4.54468085106383,MEDIUM,MODERATELY COHERENT - meaningful grouping,beverages,40.42553191489361,fruits,250,4,"oranges, cantaloupe, pear, orange concentrate, navel orange","oranges, cantaloupe, pear, orange concentrate, navel orange, champagne, orangec juice of, grapefruit, pomegranate, pomegranate juice"
K-Means,53,54,91.70370370370371,2.0,4.222222222222222,2.0219298245614037,3.7443144899285254,MEDIUM,MODERATELY COHERENT - meaningful grouping,dairy,24.074074074074073,,228,3,"breadcrumbs, ground chicken, lean ground pork, ground veal, camembert cheese","breadcrumbs, ground chicken, lean ground pork, ground veal, camembert cheese, vegemite, pork cutlet, edam cheese, yellow cheese, herbed goat cheese"
